"predictor","Type","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","n_sites_shannon","mean_diff_shannon","median_diff_shannon","n_sites_turnover","mean_diff_turnover","median_diff_turnover","n_sites_richness","mean_diff_richness","median_diff_richness"
"B3_glcm_entropy","ext",0.272727272727273,0.909090909090909,0.272727272727273,3,0.240003880614183,0.0411288598926299,10,0.151429850337445,0.152806837606837,3,2.64393333333333,0.9748
"B3_glcm_entropy","semi_nat",0.375,0.75,0.5,3,-0.0478008449956965,-0.00841295136785966,6,0.112294857147918,0.123393830703013,4,-1.276675,0.48165
"B3_glcm_homogeneity","int",0.363636363636364,0.727272727272727,0.363636363636364,4,-0.12115592954229,-0.0510308391663801,8,0.126461041980895,0.144531818181818,4,-0.2495,-0.000400000000000067
"B3_glcm_homogeneity","ext",0.363636363636364,0.636363636363636,0.363636363636364,4,-0.0763530249046699,-0.0874030923259348,7,0.195351200965156,0.208869230769231,4,-2.751925,-2.50235
"B3_glcm_homogeneity","semi_nat",0.5,0.875,0.375,4,-0.0109754533391974,0.0145938851312202,7,0.136854775514542,0.159670588235294,3,-0.672866666666667,3.9895
"B4_CV","int",0.181818181818182,0.909090909090909,0.272727272727273,2,-0.0387418983731751,-0.0387418983731751,10,0.109903954357663,0.127131818181818,3,1.97553333333333,1.9834
"B4_CV","ext",0.272727272727273,0.909090909090909,0.272727272727273,3,0.27957054728085,0.16452885989263,10,0.176899850337445,0.188160931899641,3,2.61966666666667,0.9912
"B4_CV","semi_nat",0.625,0.25,0.75,5,-0.414416016557218,-0.45801402864319,2,0.156735185185186,0.156735185185186,6,-5.16331666666667,-3.9948
"B4_RaoQ_w3","int",0.181818181818182,0.909090909090909,0.272727272727273,2,-1.14889189837318,-1.14889189837318,10,-0.926086045642337,-0.881578054298642,3,0.8616,0.7256
"B4_RaoQ_w3","ext",0.272727272727273,0.727272727272727,0.181818181818182,3,-0.579036041273854,-0.37907114010737,8,-0.938744835907625,-0.799677777777778,2,-1.02645,-1.02645
"B4_RaoQ_w3","semi_nat",0.25,0.875,0.375,2,-0.91859425317195,-0.91859425317195,7,-0.501590122444642,-0.384322222222222,3,1.6014,2.9175
"B4_RaoQ_w5","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-1.11880592688568,-1.16192378852676,9,-1.30769512317748,-1.13593636363636,3,0.2417,-0.1764
"B4_RaoQ_w5","ext",0.272727272727273,0.727272727272727,0.181818181818182,3,-0.645336041273853,-0.36917114010737,8,-1.27654483590763,-1.21517777777778,2,-1.7739,-1.7739
"B4_RaoQ_w5","semi_nat",0.25,0.875,0.375,2,-1.24834425317195,-1.24834425317195,7,-0.70576155101607,-0.523622222222222,3,1.4801,2.6943
"B4_RaoQ_w7","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-0.759672593552347,-1.26622378852676,9,-1.42060623428859,-1.26791764705882,3,-0.0336999999999999,-0.1347
"B4_RaoQ_w7","ext",0.272727272727273,0.727272727272727,0.181818181818182,3,-0.46160270794052,-0.15257114010737,8,-1.30698233590763,-1.41107777777778,2,-1.90815,-1.90815
"B4_RaoQ_w7","semi_nat",0.25,0.875,0.375,2,-1.29829425317195,-1.29829425317195,7,-0.700090122444642,-0.470522222222222,3,1.5634,2.6329
"B4_RaoQ_w9","int",0.272727272727273,0.818181818181818,0.272727272727273,3,-0.525572593552347,-1.28202378852676,9,-1.48062845651081,-1.27821764705882,3,-0.1841,0.0257999999999998
"B4_RaoQ_w9","ext",0.363636363636364,0.636363636363636,0.0909090909090909,4,-0.207626841586886,-0.0730351913166754,7,-1.49530652054039,-1.7315,1,-4.656,-4.656
"B4_RaoQ_w9","semi_nat",0.375,0.75,0.5,3,-0.9669517920927,-1.20827555497604,6,-0.73219341445702,-0.72209074074074,4,-0.460625,0.88315
"B4_glcm_ASM","int",0.454545454545455,0.454545454545455,0.454545454545455,5,-0.390345140291773,-0.12283398391069,5,0.14724,0.1238,5,-1.61128,-0.9979
"B4_glcm_ASM","ext",0.545454545454545,0.636363636363636,0.272727272727273,6,0.0846749565829566,-0.0069184918570951,7,0.180702074931458,0.202977419354839,3,0.6554,0.9922
"B4_glcm_ASM","semi_nat",0.5,0.625,0.375,4,-0.159495662726657,-0.137801707468355,5,0.134869567382509,0.165070588235294,3,-3.66666666666667,-2.9917
"B4_glcm_contrast","int",0.454545454545455,0.454545454545455,0.181818181818182,5,-0.88416763951962,0.76116749412149,5,-2.53212985352244,-2.30362727272727,2,-2.74645,-2.74645
