"predictor","Type","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","mean_diff_shannon","mean_diff_turnover","mean_diff_richness","rank_ss_S","rank_ss_T","rank_ss_R","ranksum_ss_X","rank_delta_S","rank_delta_T","rank_delta_R","ranksum_delta_X","ranksum"
"B1_glcm_entropy","int_cit",0.666666666666667,1,0.333333333333333,-0.240486117610165,-0.378019967793881,-1.9706,145,113,91,349,88,62,62,212,561
"B1_glcm_entropy","int_prox",0.125,NA,0.25,-0.11712378852676,0,1.90335,16,NA,36,52,118,140.5,76,334.5,386.5
"B1_glcm_entropy","semi_nat",0.25,0.125,0.125,0.15866258332713,-0.238259259259259,4.9342,43,25,5.5,73.5,107,95,7,209,282.5
"B1_glcm_homogeneity","ext_prox",0.454545454545455,0.181818181818182,0.272727272727273,0.0913297775169681,-0.236084299516909,-0.0135,115,40,65,220,129,96,159,384,604
"B1_glcm_homogeneity","int_cit",0.666666666666667,1,0.333333333333333,-0.251536117610165,-0.394553301127214,-1.9947,145,113,91,349,82,59,51,192,541
"B1_glcm_homogeneity","int_prox",0.125,NA,0.25,0.01647621147324,0,1.9727,16,NA,36,52,154,140.5,61,355.5,407.5
"B1_glcm_homogeneity","semi_nat",0.25,0.125,0.125,0.18841258332713,-0.256059259259259,4.9823,43,25,5.5,73.5,102,87,6,195,268.5
"B2_CV","ext_prox",0.272727272727273,NA,0.272727272727273,0.138837213947517,0,2.52626666666667,60,NA,65,125,113,140.5,35,288.5,413.5
"B2_CV","int_cit",0.333333333333333,NA,0.333333333333333,-0.10006000821959,0,1.8976,75,NA,91,166,125,140.5,77,342.5,508.5
"B2_CV","int_prox",0.125,NA,0.25,-0.15402378852676,0,1.8436,16,NA,36,52,108,140.5,79,327.5,379.5
"B2_CV","semi_nat",0.375,NA,0.25,0.0432374050954668,0,4.3669,107,NA,36,143,147,140.5,17,304.5,447.5
"B2_RaoQ_w3","ext_prox",0.363636363636364,0.0909090909090909,0.272727272727273,1.08942933276212,7.22746153846154,1.48943333333333,93,7.5,65,165.5,34,9,99,142,307.5
"B2_RaoQ_w3","int_cit",0.333333333333333,NA,0.333333333333333,-0.92266000821959,0,1.075,75,NA,91,166,41,140.5,117,298.5,464.5
