"predictor","agg","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","n_sites_shannon","mean_diff_shannon","median_diff_shannon","n_sites_turnover","mean_diff_turnover","median_diff_turnover","n_sites_richness","mean_diff_richness","median_diff_richness"
"B1_CV","agg1",0.333333333333333,0.666666666666667,0.333333333333333,1,-1.72887114010737,-1.72887114010737,2,-3.25516764705882,-3.25516764705882,1,-0.8825,-0.8825
"B1_CV","agg2",0.333333333333333,0.666666666666667,0.333333333333333,1,-2.20447114010737,-2.20447114010737,2,-4.08101764705883,-4.08101764705883,1,-1.7309,-1.7309
"B1_CV","agg4",0.333333333333333,0.666666666666667,0.333333333333333,1,-2.08947114010737,-2.08947114010737,2,-4.06006764705882,-4.06006764705882,1,-1.6475,-1.6475
"B1_RaoQ_w3","agg1",0.666666666666667,0,0.333333333333333,2,1.86721635963103,1.86721635963103,0,NA,NA,1,-5.2525,-5.2525
"B1_RaoQ_w3","agg2",0.666666666666667,0,0.333333333333333,2,6.17431635963102,6.17431635963102,0,NA,NA,1,-2.0318,-2.0318
"B1_RaoQ_w3","agg4",0.666666666666667,0,0.333333333333333,2,16.630966359631,16.630966359631,0,NA,NA,1,6.6293,6.6293
"B1_RaoQ_w5","agg1",0.333333333333333,0.666666666666667,0.333333333333333,1,-14.0251711401074,-14.0251711401074,2,-8.62901764705883,-8.62901764705883,1,-2.9914,-2.9914
"B1_RaoQ_w5","agg2",0.333333333333333,0.666666666666667,0.333333333333333,1,-13.6097711401074,-13.6097711401074,2,-8.63906764705883,-8.63906764705883,1,-2.6125,-2.6125
"B1_RaoQ_w5","agg4",0.333333333333333,0.666666666666667,0.333333333333333,1,-10.7998711401074,-10.7998711401074,2,-7.00516764705883,-7.00516764705883,1,-1.7732,-1.7732
"B1_RaoQ_w7","agg1",0.333333333333333,0.666666666666667,0.333333333333333,1,-13.6032711401074,-13.6032711401074,2,-8.31041764705883,-8.31041764705883,1,-2.2424,-2.2424
"B1_RaoQ_w7","agg2",0.333333333333333,0.666666666666667,0.333333333333333,1,-11.7341711401074,-11.7341711401074,2,-7.25261764705883,-7.25261764705883,1,-0.960999999999999,-0.960999999999999
"B1_RaoQ_w7","agg4",0.333333333333333,0.666666666666667,0.333333333333333,1,-7.45727114010737,-7.45727114010737,2,-4.66691764705883,-4.66691764705883,1,0.2742,0.2742
"B1_RaoQ_w9","agg1",0.333333333333333,0.666666666666667,0.333333333333333,1,-15.2050711401074,-15.2050711401074,2,-9.38041764705883,-9.38041764705883,1,-2.6945,-2.6945
"B1_RaoQ_w9","agg2",0.333333333333333,0.666666666666667,0.333333333333333,1,-12.6967711401074,-12.6967711401074,2,-8.06451764705882,-8.06451764705882,1,-1.6806,-1.6806
"B1_RaoQ_w9","agg4",0.333333333333333,0.666666666666667,0.333333333333333,1,-8.54247114010737,-8.54247114010737,2,-5.71721764705882,-5.71721764705882,1,-0.9332,-0.9332
"B1_glcm_ASM","agg1",0.333333333333333,0.666666666666667,0.333333333333333,1,-5.70917114010737,-5.70917114010737,2,-4.79041764705883,-4.79041764705883,1,-2.9854,-2.9854
"B1_glcm_ASM","agg2",0.333333333333333,0.666666666666667,0.333333333333333,1,-7.66557114010737,-7.66557114010737,2,-6.14786764705882,-6.14786764705882,1,-3.3885,-3.3885
"B1_glcm_ASM","agg4",0.333333333333333,0.666666666666667,0.333333333333333,1,-7.19667114010737,-7.19667114010737,2,-5.70996764705882,-5.70996764705882,1,-2.6068,-2.6068
"B1_glcm_contrast","agg1",0.666666666666667,0,0.333333333333333,2,1.57706635963103,1.57706635963103,0,NA,NA,1,-3.1956,-3.1956
"B1_glcm_contrast","agg2",0.666666666666667,0,0.333333333333333,2,8.74781635963102,8.74781635963102,0,NA,NA,1,4.8009,4.8009
"B1_glcm_contrast","agg4",0.666666666666667,0,0.333333333333333,2,24.425966359631,24.425966359631,0,NA,NA,1,24.5137,24.5137
"B1_glcm_dissimilarity","agg1",0.333333333333333,0.666666666666667,0.333333333333333,1,-5.57267114010737,-5.57267114010737,2,-4.08271764705882,-4.08271764705882,1,-3.6602,-3.6602
"B1_glcm_dissimilarity","agg2",0.333333333333333,0.666666666666667,0.333333333333333,1,-3.97287114010737,-3.97287114010737,2,-2.86591764705883,-2.86591764705883,1,-1.8675,-1.8675
"B1_glcm_dissimilarity","agg4",0.333333333333333,0.666666666666667,0.333333333333333,1,-1.75517114010737,-1.75517114010737,2,-0.993717647058825,-0.993717647058825,1,-0.5484,-0.5484
"B1_glcm_entropy","agg1",0.333333333333333,0.666666666666667,0.333333333333333,1,-6.19907114010737,-6.19907114010737,2,-4.66941764705882,-4.66941764705882,1,-3.9294,-3.9294
"B1_glcm_entropy","agg2",0.333333333333333,0.666666666666667,0.333333333333333,1,-4.86347114010737,-4.86347114010737,2,-3.72971764705882,-3.72971764705882,1,-2.7722,-2.7722
"B1_glcm_entropy","agg4",0.333333333333333,0.666666666666667,0.333333333333333,1,-3.29657114010737,-3.29657114010737,2,-2.52896764705882,-2.52896764705882,1,-1.5895,-1.5895
"B1_glcm_homogeneity","agg1",0.333333333333333,0.666666666666667,0.333333333333333,1,-6.42387114010737,-6.42387114010737,2,-4.88176764705882,-4.88176764705882,1,-4.6706,-4.6706
"B1_glcm_homogeneity","agg2",0.333333333333333,0.666666666666667,0.333333333333333,1,-5.95557114010737,-5.95557114010737,2,-4.54991764705882,-4.54991764705882,1,-3.3041,-3.3041
